
[Timestamp: 2024-07-24_23:14:44, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=105, Proxy Used: http://154.12.101.90:5955, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:45, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=30, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:45, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=22, Proxy Used: http://166.88.217.65:6398, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:45, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=25, Proxy Used: http://166.88.217.65:6398, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:45, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=112, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:48, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=31, Proxy Used: http://154.55.91.101:6487, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:49, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=32, Proxy Used: http://154.13.93.147:8494, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:50, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=111, Proxy Used: http://154.22.135.55:5920, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:50, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=33, Proxy Used: http://192.95.80.242:5326, Status Code: 200, Comment: Success]
[Timestamp: 2024-07-24_23:14:51, Input URL: https://www.ebay.com/sch/i.html?_from=R40&_trksid=p4432023.m570.l1313&_nkw=Women+Waist&_sacat=0&LH_BIN=1&LH_PrefLoc=1&rt=nc&LH_ItemCondition=3&_ipg=240&_dmd=1&_stpos=90210&_pgn=114, Proxy Used: http://154.12.101.90:5955, Status Code: 200, Comment: Success]
